time_s,rollAccelerationCommand_rps2,measuredRollRate_rps,rollAttitudeCommand_rad,measuredRollAttitude_rad
3.3,0,-1.824028e-06,0,0
3.31,0,-1.080275e-06,0,0
3.32,0,4.591774e-07,0,0
3.33,0,2.683356e-07,0,0
3.34,0,5.678064e-08,0,0
3.35,0,-2.568813e-07,0,0
3.36,0,-1.720658e-06,0,0
3.37,0,1.8825e-07,0,0
3.38,0,-6.596538e-07,0,0
3.39,0,-2.079861e-06,0,0
3.4,0,-4.064327e-06,0,0
3.41,0,-2.22272e-06,0,0
3.42,0,-3.120877e-06,0,0
3.43,0,-4.362588e-06,0,0
3.44,0,-5.082471e-06,0,0
3.45,0,-6.567235e-06,0,0
3.46,0,-7.129619e-06,0,0
3.47,0,-8.020149e-06,0,0
3.48,0,-9.107724e-06,0,0
3.49,0,-9.577599e-06,0,0
3.5,0,-8.16375e-06,0,0
3.51,0,-1.13875e-05,0,0
3.52,0,-1.127735e-05,0,0
3.53,0,-1.363905e-05,0,0
3.54,0,-1.986606e-05,0,0
3.55,0,-2.030749e-05,0,0
3.56,0,-1.903524e-05,0,0
3.57,0,-1.740869e-05,0,0
3.58,0,-1.596079e-05,0,0
3.59,0,-1.539295e-05,0,0
3.6,0,-1.760987e-05,0,0
3.61,0,-1.581697e-05,0,0
3.62,0,-1.778997e-05,0,0
3.63,0,-1.830376e-05,0,0
3.64,0,-1.833925e-05,0,0
3.65,0,-2.022679e-05,0,0
3.66,0,-2.102883e-05,0,0
3.67,0,-2.3014e-05,0,0
3.68,0,-1.93738e-05,0,0
3.69,0,-2.121377e-05,0,0
3.7,0,-2.146645e-05,0,0
3.71,0,-2.238122e-05,0,0
3.72,0,-2.314364e-05,0,0
3.73,0,-2.376732e-05,0,0
3.74,0,-2.346223e-05,0,0
3.75,0,-2.198969e-05,0,0
3.76,0,-2.55738e-05,0,0
3.77,0,-2.529955e-05,0,0
3.78,0,-2.491407e-05,0,0
3.79,0,-2.605244e-05,0,0
3.8,0,-2.975012e-05,0,0
3.81,0,-2.638514e-05,0,0
3.82,0,-2.746708e-05,0,0
3.83,0,-2.612338e-05,0,0
3.84,0,-2.63675e-05,0,0
3.85,0,-2.505687e-05,0,0
3.86,0,-2.568732e-05,0,0
3.87,0,-2.5907e-05,0,0
3.88,0,-2.536787e-05,0,0
3.89,0,-2.473264e-05,0,0
3.9,0,-2.362822e-05,0,0
3.91,0,-2.501986e-05,0,0
3.92,0,-2.413202e-05,0,0
3.93,0,-2.459653e-05,0,0
3.94,0,-2.753529e-05,0,0
3.95,0,-2.767984e-05,0,0
3.96,0,-2.619169e-05,0,0
3.97,0,-2.506637e-05,0,0
3.98,0,-2.43551e-05,0,0
3.99,0,-2.342081e-05,0,0
4,0,-2.322596e-05,0,0
4.01,0,-2.103283e-05,0,0
4.02,0,-1.876947e-05,0,0
4.03,0,-1.97735e-05,0,0
4.04,0,-2.1027e-05,0,0
4.05,0,-2.182425e-05,0,0
4.06,0,-2.262588e-05,0,0
4.07,0,-2.518056e-05,0,0
4.08,0,-2.549162e-05,0,0
4.09,0,-2.499622e-05,0,0
4.1,0,-2.476938e-05,0,0
4.11,0,-2.204475e-05,0,0
4.12,0,-2.199726e-05,0,0
4.13,0,-2.195154e-05,0,0
4.14,0,-2.150594e-05,0,0
4.15,0,-2.282687e-05,0,0
4.16,0,-2.189315e-05,0,0
4.17,0,-1.940499e-05,0,0
4.18,0,-1.775778e-05,0,0
4.19,0,-1.551956e-05,0,0
4.2,0,-1.545892e-05,0,0
4.21,0,-1.761041e-05,0,0
4.22,0,-2.074634e-05,0,0
4.23,0,-1.996972e-05,0,0
4.24,0,-1.891213e-05,0,0
4.25,0,-1.968354e-05,0,0
4.26,0,-1.936924e-05,0,0
4.27,0,-2.110826e-05,0,0
4.28,0,-2.208093e-05,0,0
4.29,0,-1.977631e-05,0,0
4.3,0,-1.848984e-05,0,0
4.31,0,-2.026778e-05,0,0
4.32,0,-1.982258e-05,0,0
4.33,0,-2.356748e-05,0,0
4.34,0,-2.305677e-05,0,0
4.35,0,-2.236301e-05,0,0
4.36,0,-2.417038e-05,0,0
